method,ASW_celltype,ASW_celltype_rescaled,ASW_batch,ASW_batch_mixing_score,modality_neighbor_entropy_higher_is_better,cell_type_neighbor_entropy_lower_is_better,ARI_kmeans_vs_cell_type,NMI_kmeans_vs_cell_type,runtime_seconds,overall_mean_score
Cobolt,0.17067736387252808,0.585338681936264,-0.018091605976223946,0.981908394023776,0.8195469536269767,0.1540742121928556,0.46181874209624835,0.6935714716159915,110.55167942494154,0.7084368486598513
MultiVI,-0.023064682260155678,0.48846765886992216,-0.0010258725378662348,0.9989741274621338,0.6224036985851426,0.3089885095611012,0.24324817997893738,0.47341512450583584,70.62248670961708,0.5653017578803944
MOFA_plus,0.06639175759408285,0.5331958787970414,0.24644869225524538,0.7535513077447547,0.4115620582491319,0.16883418992067284,0.2014157171748528,0.544053529191406,96.84452709369361,0.4887556982314374
